orden,hora,hora_fin,tipo,titulo,persona,rol,area,sala,articulo_ok,ppt_ok,confirmado,notas
1,15:00,15:10,apertura,Palabras de apertura,Lic. María Laura Simonassi,Rectora,,Plenario,,,sí,
2,15:10,15:20,apertura,Presentación del Observatorio de Inteligencia Artificial,Dr. Claudio Larrea,Director del Observatorio de IA,Observatorio IA,Plenario,,,sí,
3,15:20,15:25,indicaciones,Indicaciones técnicas y dinámica de las ponencias,Observatorio de IA,Coordinación,,Plenario,,,sí,10 minutos por ponencia
4,15:25,15:35,ponencia,Sistema de alerta temprana en epidemiología veterinaria,Giboin,Expositor/a,Veterinaria,Plenario,sí,sí,no,Desde catálogos Drive — confirmar exposición
5,15:35,15:45,ponencia,"GEMEPH: gemelo digital sociodemográfico de la EPH-INDEC para simular exclusión digital, vulnerabilidad y brechas territoriales en Argentina",Larrea,Expositor/a,Investigación,Plenario,sí,sí,no,Desde catálogos Drive — confirmar exposición
6,15:45,15:55,ponencia,Uso de inteligencia artificial en estudiantes de la Universidad Católica de Cuyo,La Malfa et al.,Expositor/a,Investigación,Plenario,sí,sí,no,Desde catálogos Drive — confirmar exposición
